0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000105-02,0.382,120.91,104.66,652.08,544.96,0.46,344.56,0.49,892.45,1325.53,32.58,32.72,748.36,0.25,0.25,52.74,65.95,2.2,3.01,0.45,0.43,0.62,0.49,0.0,0.0,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-01,0.311,175.92,156.8,747.85,1071.35,0.7,317.24,0.64,917.67,1791.82,43.74,44.2,849.76,0.25,0.25,43.93,89.77,1.7,2.41,0.23,0.28,0.62,0.34,30.87,8.71,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000106-02,0.311,147.69,139.73,878.6,769.09,0.66,339.72,0.42,847.78,1461.18,42.37,42.46,840.88,0.33,0.33,77.53,70.89,1.75,1.69,0.26,0.3,0.65,0.37,0.0,0.0,
WO1-0000107-01,0.349,106.12,84.52,702.0,491.33,0.49,172.77,0.63,1558.51,3496.33,34.92,35.71,748.84,0.23,0.23,132.09,136.63,1.91,1.49,0.51,0.35,0.52,0.47,7.12,5.51,
